,Collaborative,Description,Followers,Name,Tracks,URL,href,id
1160,False,It's the weekend and you need some popular songs to hang out with. We've got you covered.,66,Let Loose,65,https://open.spotify.com/playlist/3Nh594yQ7PkhEPzUUAKlnH,https://api.spotify.com/v1/playlists/3Nh594yQ7PkhEPzUUAKlnH,3Nh594yQ7PkhEPzUUAKlnH
1161,False,An epic event in the making. You can not enjoy a Foam party without the perfect songs to get everyone jumping. Turn it up and let the foam start flowing!,204,Foam Party,67,https://open.spotify.com/playlist/3L1KIXcFcHhfeMlf7pD7IB,https://api.spotify.com/v1/playlists/3L1KIXcFcHhfeMlf7pD7IB,3L1KIXcFcHhfeMlf7pD7IB
1162,False,It all starts with some friends over for dinner but after a couple of drinks... well let's just say you won't have to worry about having an upbeat playlist for the night!,42,An Epic Evening,25,https://open.spotify.com/playlist/6wz9sFJRqsmu7ldv0xJOIz,https://api.spotify.com/v1/playlists/6wz9sFJRqsmu7ldv0xJOIz,6wz9sFJRqsmu7ldv0xJOIz
1163,False,Sometimes only music can describe that feeling...,6808,Falling In Love,33,https://open.spotify.com/playlist/08vPKM3pmoyF6crB2EtASQ,https://api.spotify.com/v1/playlists/08vPKM3pmoyF6crB2EtASQ,08vPKM3pmoyF6crB2EtASQ
1164,False,Get the dorm active!,211097,Dorm Daze,50,https://open.spotify.com/playlist/37i9dQZF1DXdfjr8o5AMIT,https://api.spotify.com/v1/playlists/37i9dQZF1DXdfjr8o5AMIT,37i9dQZF1DXdfjr8o5AMIT
1165,False,"Heady lyrics, driving rhythms...",422201,Sexy as Folk,47,https://open.spotify.com/playlist/37i9dQZF1DX1BGjF5N5O7F,https://api.spotify.com/v1/playlists/37i9dQZF1DX1BGjF5N5O7F,37i9dQZF1DX1BGjF5N5O7F
1166,False,Slow down hip hop and R&amp;B for the two of you.,95746,Real and True,100,https://open.spotify.com/playlist/37i9dQZF1DWTHNhOtzzDEc,https://api.spotify.com/v1/playlists/37i9dQZF1DWTHNhOtzzDEc,37i9dQZF1DWTHNhOtzzDEc
1167,False,Everyday. Every time.  These are the songs you can count on. Always.,215873,Everyday Inspiration,100,https://open.spotify.com/playlist/37i9dQZF1DXbQ1kpdsa9FU,https://api.spotify.com/v1/playlists/37i9dQZF1DXbQ1kpdsa9FU,37i9dQZF1DXbQ1kpdsa9FU
1168,False,"Chill songs for lazy mornings. You'll roll out of bed and get the coffee on, eventually ...",2241,Early Morning Rise,27,https://open.spotify.com/playlist/68oeNrImf1nxjL0RbpZkij,https://api.spotify.com/v1/playlists/68oeNrImf1nxjL0RbpZkij,68oeNrImf1nxjL0RbpZkij
1169,False,The hip-hop world knows when you put hooks together that rise above the rest. Listen to the best of the best from top lyricists.,328795,Ill Lyricist,84,https://open.spotify.com/playlist/37i9dQZF1DX58UlVHNJFai,https://api.spotify.com/v1/playlists/37i9dQZF1DX58UlVHNJFai,37i9dQZF1DX58UlVHNJFai
1170,False,"Why do they do what they do? Hip-hop tracks from the top players reveals a darker, deeper side to the game.",36239,The Other Side of Hip-Hop,62,https://open.spotify.com/playlist/37i9dQZF1DX4oW8z0Z0nKv,https://api.spotify.com/v1/playlists/37i9dQZF1DX4oW8z0Z0nKv,37i9dQZF1DX4oW8z0Z0nKv
1171,False,"When you've got ice water coursing through your veins, you need tracks that relate. Doesn't get any more real than this.",111516,Clinically Cold,57,https://open.spotify.com/playlist/37i9dQZF1DWYfVy6zzMSPv,https://api.spotify.com/v1/playlists/37i9dQZF1DWYfVy6zzMSPv,37i9dQZF1DWYfVy6zzMSPv
1172,False,Help the band set-up and get ready for the best live performances from your favorite artists.,9662,Backstage,100,https://open.spotify.com/playlist/5qVqzAenJiKLfRny06XQf0,https://api.spotify.com/v1/playlists/5qVqzAenJiKLfRny06XQf0,5qVqzAenJiKLfRny06XQf0
1173,False,"Slipknot, Mudvayne, Hatebreed. Turn the volume all the way up.",9216,Bullet for Hell,20,https://open.spotify.com/playlist/1RKtKRcejWjN6ZOkghImIV,https://api.spotify.com/v1/playlists/1RKtKRcejWjN6ZOkghImIV,1RKtKRcejWjN6ZOkghImIV
1174,False,Relax to the sound of a three hour rainstorm that just set in across wherever you may be. The gentle rain swells into a loud storm.,233277,A Sudden Rainstorm,68,https://open.spotify.com/playlist/37i9dQZF1DX9NmDLwNQnXE,https://api.spotify.com/v1/playlists/37i9dQZF1DX9NmDLwNQnXE,37i9dQZF1DX9NmDLwNQnXE
1175,False,Get ready for the big night with a 2 hour countdown playlist meant to get things kicked off right.,24690,The Final Countdown,33,https://open.spotify.com/playlist/37i9dQZF1DWSfV3tUq6UYX,https://api.spotify.com/v1/playlists/37i9dQZF1DWSfV3tUq6UYX,37i9dQZF1DWSfV3tUq6UYX
